KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13
1,1.1,297,57,1,2,2951,3,30,2,1,2,0,5,0,0,0,1,,,
1,1.2,297,59,2,2,940,5,30,2,1,1,0,5,0,0,0,1,3,0,0
1,1.1,297,64,1,2,2951,4,30,2,5,0,5,5,0,0,5,3,,,
1,1.1,301,43,1,2,5978,4,30,2,5,0,0,5,0,5,0,1,,,
1,1.1,301,44,1,2,5978,5,30,2,5,0,5,5,0,0,0,1,,,
1,1.1,301,45,1,2,5749,3,30,2,5,0,0,5,0,0,0,3,,,
1,1.1,301,48,1,2,5749,4,30,2,1,5,5,5,0,0,0,1,,,
1,1.1,301,49,1,2,980,3,30,2,1,5,0,1,1,5,0,2,,,
1,1.1,301,51,2,2,980,4,30,2,1,4,0,1,1,5,0,2,,,
1,1.1,301,53,2,2,1288,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,301,54,2,2,980,5,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,302,39,1,2,5771,3,30,2,1,2,0,5,0,0,0,2,,,
1,1.1,302,40,1,2,5771,4,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,308,38,1,2,1619,3,33,2,1,2,0,5,0,0,5,4,,,
1,1.1,308,40,1,2,7629,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,308,41,1,2,7629,4,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,311,34,1,2,4476,3,30,2,1,5,0,1,1,5,0,5,,,
1,1.1,311,37,2,2,4476,4,30,2,0,0,0,0,0,0,0,2,,,
1,1.2,312,33,2,2,2549,2,30,2,5,0,0,5,0,0,0,1,3,997,98
1,1.1,312,34,1,2,2549,3,30,2,0,0,0,0,0,0,0,1,,,
1,1.2,317,36,1,2,1303,3,30,2,5,0,0,5,0,5,0,2,3,0,0
1,1.1,317,37,2,2,476,3,30,2,1,3,0,1,5,5,0,1,,,
1,1.1,317,38,1,2,476,4,30,2,1,3,0,1,5,5,0,1,,,
1,1.2,317,39,1,2,1303,4,30,2,5,0,0,5,0,0,0,4,3,0,0
1,1.1,317,43,2,2,1303,5,30,2,0,0,0,0,0,0,0,3,,,
1,1.1,319,33,1,2,7030,3,33,2,1,2,0,5,0,5,0,1,,,
1,1.1,321,33,2,2,3738,4,30,2,1,5,0,1,1,0,0,1,,,
1,1.1,321,34,2,2,1337,3,30,2,0,0,0,0,0,0,0,2,,,
1,1.1,321,35,1,2,6477,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,321,181,1,3,3738,3,30,2,1,2,0,5,0,5,0,1,,,
1,1.2,323,35,2,2,7519,3,30,2,5,0,0,1,5,0,5,2,3,998,1
1,1.1,326,35,1,2,954,4,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,326,36,2,2,954,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,326,38,1,2,4064,3,30,2,0,0,0,0,0,0,0,5,,,
1,1.1,327,34,1,2,7253,3,30,2,1,3,0,5,0,1,0,1,,,
1,1.1,327,36,2,2,8306,3,30,2,1,1,0,5,0,0,0,2,,,
1,1.1,327,37,2,2,7253,4,30,2,1,5,0,1,1,5,0,1,,,
1,1.1,327,38,2,2,4281,3,30,2,1,3,0,5,0,0,0,1,,,
1,1.1,327,39,2,2,4281,4,30,2,1,3,0,5,0,0,0,1,,,
1,1.1,327,40,1,2,4281,5,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,331,34,2,2,7902,3,30,2,5,0,0,5,0,5,0,2,,,
1,1.1,331,35,2,2,8688,3,30,2,1,5,0,1,1,1,5,2,,,
1,1.1,331,36,1,2,7902,4,30,2,9,0,0,9,0,0,0,0,,,
1,1.1,331,38,2,2,8688,5,30,2,5,0,0,5,0,1,5,0,,,
1,1.1,331,40,2,2,8688,6,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,331,41,1,2,8688,7,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,331,179,2,3,8688,4,30,2,5,0,0,5,0,1,5,4,,,
1,1.1,338,32,2,2,7098,3,30,2,5,0,0,1,5,0,5,2,,,
1,1.1,338,33,2,2,7098,4,30,2,5,0,0,1,5,0,5,2,,,
1,1.1,338,34,2,2,6007,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.1,343,34,1,2,2438,3,30,2,5,0,0,1,1,0,0,3,,,
1,1.1,343,35,2,2,2438,4,30,2,5,0,0,1,5,5,0,1,,,
1,1.1,351,40,2,2,2266,3,60,2,5,0,5,5,0,0,0,2,,,
1,1.1,351,41,2,2,2266,4,60,2,5,0,5,5,0,0,0,2,,,
1,1.1,351,42,1,2,3757,3,30,2,1,4,0,5,0,0,0,1,,,
1,1.1,351,43,2,2,3757,4,30,2,0,0,0,0,0,0,0,1,,,
1,1.1,351,44,1,2,1744,3,30,2,0,0,0,0,0,0,0,4,,,
1,1.1,352,32,2,2,2252,3,30,2,1,1,0,5,0,0,0,1,,,
1,1.1,352,33,1,2,2252,4,30,2,1,1,0,5,0,5,0,5,,,
1,1.1,352,34,1,2,7942,3,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,356,33,1,2,1112,4,30,2,1,1,0,5,0,0,5,1,3,3,4
1,1.2,368,33,1,2,2445,3,30,2,1,2,0,1,1,5,0,2,3,0,0
1,1.2,368,34,2,2,1278,3,30,2,1,5,0,5,0,0,0,2,3,0,0
1,1.2,368,35,1,2,1278,4,30,2,5,0,0,5,0,0,0,2,3,0,0
1,1.2,368,36,1,2,2445,4,30,2,1,2,0,1,1,5,0,2,3,0,0
1,1.2,368,37,2,2,2445,5,30,2,1,2,0,5,0,5,0,2,3,0,0
1,1.2,377,32,1,2,5116,3,30,2,1,1,5,5,0,5,0,1,3,3,5
1,1.2,377,33,1,2,5116,4,30,2,1,5,0,1,1,0,0,1,3,0,0
1,1.1,378,31,1,2,3977,5,30,2,0,0,0,0,0,0,0,0,,,
1,1.2,409,34,1,2,8872,4,30,2,5,0,0,5,0,0,0,4,3,3,4
1,1.2,409,35,2,2,3621,3,30,2,1,5,0,1,1,5,0,3,3,3.8,4
1,1.1,409,36,2,2,3621,4,30,2,1,1,0,5,0,0,0,2,,,
1,1.2,409,38,2,2,4671,3,30,2,1,5,0,1,1,0,0,1,3,0,0
1,1.1,409,39,1,2,8872,5,30,2,5,0,0,5,0,0,0,5,,,
1,1.1,409,40,2,2,3621,5,30,2,1,2,0,5,0,0,0,3,,,
1,1.1,409,42,2,2,4671,4,30,2,1,3,0,5,0,0,0,2,,,
1,1.2,412,34,2,2,1359,3,30,2,5,0,0,5,0,0,0,1,3,998,98
1,1.2,412,35,2,2,1359,4,33,2,5,0,0,5,0,5,5,2,3,998,98
1,1.2,412,36,1,2,1359,5,33,2,5,0,0,5,0,0,0,2,3,0,0
1,1.1,412,37,1,2,1359,6,33,2,5,0,0,5,0,0,0,2,,,
1,1.1,412,38,1,2,1359,7,33,2,5,0,5,5,0,0,0,1,,,
