KIDS,KID14,ER30001,ER30002,ER32000,ER32006,ER34201,ER34202,ER34203,P14REL,P14E5,P14E6,P14E10_09,P14E15,P14E16_3,P14E26_5,P14E33_6,P14E53,C14REL,C14B12,C14B13,GPA_normalized
1,1.2,2336,32,1,2,6106,3,30,2.0,1.0,6.0,5.0,5.0,0.0,5.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,2339,37,1,2,6313,3,33,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,1.8,4.0,0.45
1,1.2,2383,30,2,2,5607,4,30,2.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,2.0,3.0,3.89,4.5,0.8644444444444445
1,1.2,2410,34,2,2,8324,3,30,2.0,1.0,1.0,0.0,1.0,5.0,5.0,0.0,1.0,3.0,3.6,4.0,0.9
1,1.2,2412,34,2,2,924,4,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,2432,56,1,2,494,3,30,2.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,3.64,4.0,0.91
1,1.2,2434,34,1,2,5711,4,70,2.0,1.0,6.0,0.0,1.0,1.0,0.0,5.0,5.0,3.0,2.7,4.0,0.675
1,1.2,2436,40,1,2,4178,2,30,2.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,3.4,4.0,0.85
1,1.2,2443,34,2,2,1458,2,30,2.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,2.9,4.0,0.725
1,1.2,2464,33,2,2,2027,4,30,2.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,1.0
1,1.2,2478,33,1,2,6169,3,30,2.0,1.0,2.0,0.0,5.0,0.0,5.0,0.0,1.0,3.0,3.2,4.0,0.8
