KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13,GPA_normalized
1,1.2,2051,38,1,2,1711,3,30,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.75
1,1.2,2056,37,2,2,2104,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.5,4.0,0.875
1,1.2,2056,40,2,2,1757,2,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,3.9,4.0,0.975
1,1.2,2059,35,2,2,4009,4,30,1.0,1.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,3.75,4.0,0.9375
1,1.2,2061,34,1,2,7870,3,30,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,4.7,5.0,0.9400000000000001
1,1.2,2062,41,1,2,3609,3,33,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,2.3,4.5,0.5111111111111111
1,1.2,2062,42,1,2,3825,4,33,1.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.6,4.3,0.8372093023255814
1,1.2,2073,36,2,2,7519,3,30,1.0,1.0,3.0,0.0,1.0,5.0,5.0,0.0,1.0,2.0,3.1,4.0,0.775
1,1.2,2124,33,1,2,370,3,30,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,3.8,4.0,0.95
1,1.2,2124,34,2,2,301,4,30,1.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0,2.9,4.0,0.725
1,1.2,2133,36,2,2,2552,3,30,1.0,1.0,5.0,0.0,1.0,1.0,0.0,5.0,1.0,2.0,3.5,4.0,0.875
