KIDS,KID19,ER30001,ER30002,ER32000,ER32006,ER34701,ER34702,ER34703,P19REL,P19E5,P19E6,P19E10_09,P19E15,P19E16_3,P19E26_5,P19E33_6,P19E53A,C19REL,C19B12,C19B13
1,1.1,321,34,2,2,2880,3,30,1,1,1,0,1,5,0,0,2,,,
1,1.1,321,36,2,2,1895,5,30,1,1,5,0,5,0,5,0,2,,,
1,1.2,321,181,1,3,1895,3,30,1,1,3,0,5,0,0,0,1,2,3.9,5
1,1.1,326,38,1,2,3934,3,30,1,5,0,5,5,0,0,0,4,,,
1,1.1,326,41,2,2,3934,4,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,326,42,1,2,3934,5,30,1,0,0,0,0,0,0,0,3,,,
1,1.1,327,41,2,2,5940,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,327,42,2,2,6195,3,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,327,43,2,2,6195,4,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,331,35,2,2,8610,3,30,1,1,3,0,1,1,5,5,1,,,
1,1.1,331,38,2,2,8610,5,30,1,5,0,0,5,0,5,5,1,,,
1,1.1,331,40,2,2,8610,6,30,1,1,3,0,5,0,5,5,0,,,
1,1.1,331,41,1,2,8610,7,30,1,5,0,0,5,0,0,5,0,,,
1,1.1,331,42,2,2,8655,3,30,1,1,2,0,1,5,5,5,0,,,
1,1.1,331,44,1,2,8655,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,331,46,1,2,8655,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,331,179,2,3,8610,4,30,1,5,0,5,5,0,5,5,1,,,
1,1.1,338,32,2,2,9378,3,30,1,5,0,0,1,5,5,0,2,,,
1,1.1,338,33,2,2,9378,4,30,1,5,0,0,5,0,0,0,3,,,
1,1.1,338,34,2,2,8266,3,30,1,5,0,0,1,5,0,0,4,,,
1,1.1,338,35,2,2,8266,4,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,338,36,1,2,9378,5,30,1,0,0,0,0,0,0,0,5,,,
1,1.2,343,34,1,2,3180,3,30,1,1,2,0,5,0,0,0,1,2,998,98
1,1.2,343,35,2,2,3180,4,30,1,1,6,0,1,1,5,0,1,2,998,98
1,1.1,344,39,1,2,6184,3,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,344,40,2,2,7490,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,344,41,2,2,6184,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,350,34,1,2,45,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,351,41,2,2,4867,4,60,1,5,0,0,5,0,5,0,0,2,0,0
1,1.1,351,44,1,2,4736,3,30,1,5,0,0,5,0,0,0,5,,,
1,1.1,351,45,2,2,4991,2,30,1,1,3,0,5,0,0,0,4,,,
1,1.1,351,46,1,2,4736,4,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,351,47,2,2,4736,5,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,352,34,1,2,9232,2,30,1,1,4,5,5,0,0,0,5,,,
1,1.1,352,35,2,2,9232,3,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,352,36,2,2,9232,4,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,354,35,2,2,3663,4,30,1,0,0,0,0,0,0,0,4,,,
1,1.1,354,36,2,2,3818,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,354,184,2,3,3663,3,30,1,5,0,0,5,0,0,0,4,,,
1,1.1,355,34,2,2,3259,4,30,1,1,3,0,5,0,0,0,1,,,
1,1.1,355,35,1,2,3259,5,30,1,0,0,0,0,0,0,0,2,,,
1,1.1,355,36,1,2,3259,6,30,1,0,0,0,0,0,0,0,0,,,
1,1.1,355,37,2,2,2929,3,30,1,0,0,0,0,0,0,0,0,,,
1,1.2,368,33,1,2,7332,3,30,1,1,3,0,5,0,1,0,2,2,4.25,5
1,1.2,368,34,2,2,8368,3,30,1,1,1,0,5,0,0,0,2,2,4,4.5
1,1.2,368,35,1,2,8368,4,30,1,1,5,0,5,0,0,0,3,2,0,0
1,1.2,368,36,1,2,7332,4,30,1,1,1,0,5,0,0,0,1,2,0,0
1,1.2,368,37,2,2,7332,5,30,1,1,4,0,5,0,1,0,1,2,0,0
1,1.2,377,33,1,2,1924,3,30,1,1,1,5,5,0,0,0,1,2,3.8,5
1,1.2,409,38,2,2,7211,2,30,1,1,3,0,5,0,0,5,1,2,5.4,6
1,1.1,409,41,1,2,7537,3,30,1,1,3,0,1,5,0,0,1,,,
1,1.2,409,42,2,2,7211,3,30,1,1,3,5,5,0,0,0,1,2,0,0
1,1.1,409,43,2,2,7537,4,30,1,1,3,0,1,5,0,0,1,,,
1,1.1,414,41,2,2,6323,3,30,1,1,1,5,5,0,5,0,3,,,
1,1.1,414,42,2,2,6323,4,30,1,1,1,0,5,0,5,0,4,,,
1,1.1,419,41,2,2,2092,2,30,1,1,5,5,5,0,0,0,1,,,
1,1.1,419,42,1,2,1780,2,30,1,5,0,0,5,0,0,5,1,,,
1,1.1,419,43,2,2,2092,3,30,1,0,0,0,0,0,0,0,2,,,
1,1.2,419,182,1,3,2120,2,60,1,5,0,0,5,0,5,0,1,2,0,0
1,1.1,436,43,2,2,755,3,30,1,1,5,0,1,1,5,5,1,,,
1,1.1,436,44,2,2,755,4,30,1,5,0,0,1,1,0,0,4,,,
1,1.1,436,46,2,2,755,5,30,1,0,0,0,0,0,0,0,5,,,
1,1.1,436,48,1,2,182,3,30,1,0,0,0,0,0,0,0,5,,,
